movie_name,movie_rating,movie_review,movie_label
Quantum Leap,10,The performances were outstanding. Truly breathtaking.,good
Whispers in the Void,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Crimson Shadow,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Solaris Gate,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
The Last Alchemist,6,It's a solid 6/10. Good for a casual watch.,moderate
Whispers in the Void,8,The performances were outstanding. Truly breathtaking.,good
Forgotten Dynasty,4,An average film. The plot was predictable but the acting was fine.,moderate
The Crimson Shadow,8,An absolute masterpiece! The acting and story were brilliant.,good
The Last Alchemist,3,A complete waste of time. The plot made no sense.,bad
Midnight Runner,8,Fantastic cinematography and a deeply moving plot.,good
Midnight Runner,3,Terrible acting and a horrible script. I wanted to walk out.,bad
The Crimson Shadow,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Ocean's Enigma,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
The Crimson Shadow,7,An average film. The plot was predictable but the acting was fine.,moderate
Midnight Runner,9,Fantastic cinematography and a deeply moving plot.,good
Project Gemini,5,It's a solid 6/10. Good for a casual watch.,moderate
Forgotten Dynasty,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Midnight Runner,9,The performances were outstanding. Truly breathtaking.,good
Echoes of Neptune,7,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Ocean's Enigma,4,It's a solid 6/10. Good for a casual watch.,moderate
Ocean's Enigma,6,An average film. The plot was predictable but the acting was fine.,moderate
Project Gemini,4,It's a solid 6/10. Good for a casual watch.,moderate
The Last Alchemist,8,Loved every minute of it. A must-watch film.,good
Whispers in the Void,5,It was an okay movie. Had some good parts but was slow overall.,moderate
Project Gemini,6,It was an okay movie. Had some good parts but was slow overall.,moderate
Solaris Gate,5,It's a solid 6/10. Good for a casual watch.,moderate
The Last Alchemist,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Echoes of Neptune,10,Fantastic cinematography and a deeply moving plot.,good
Forgotten Dynasty,4,An average film. The plot was predictable but the acting was fine.,moderate
The Crimson Shadow,8,Fantastic cinematography and a deeply moving plot.,good
The Last Alchemist,3,The story was incoherent and the characters were poorly written.,bad
Project Gemini,9,Loved every minute of it. A must-watch film.,good
Forgotten Dynasty,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Echoes of Neptune,10,One of the best movies I've seen this year. Highly recommended!,good
Solaris Gate,5,It's a solid 6/10. Good for a casual watch.,moderate
Whispers in the Void,10,One of the best movies I've seen this year. Highly recommended!,good
Project Gemini,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Forgotten Dynasty,7,An average film. The plot was predictable but the acting was fine.,moderate
Ocean's Enigma,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Solaris Gate,4,An average film. The plot was predictable but the acting was fine.,moderate
Project Gemini,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Quantum Leap,10,One of the best movies I've seen this year. Highly recommended!,good
Starlight Rebellion,2,The story was incoherent and the characters were poorly written.,bad
Project Gemini,7,An average film. The plot was predictable but the acting was fine.,moderate
Midnight Runner,4,An average film. The plot was predictable but the acting was fine.,moderate
Quantum Leap,2,The story was incoherent and the characters were poorly written.,bad
Whispers in the Void,1,The story was incoherent and the characters were poorly written.,bad
Project Gemini,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Ocean's Enigma,7,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Cybernetic Dawn,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
Ocean's Enigma,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Quantum Leap,7,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Crimson Shadow,5,It was an okay movie. Had some good parts but was slow overall.,moderate
Solaris Gate,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Midnight Runner,8,Loved every minute of it. A must-watch film.,good
Ocean's Enigma,9,Fantastic cinematography and a deeply moving plot.,good
The Crimson Shadow,8,The performances were outstanding. Truly breathtaking.,good
Project Gemini,10,Fantastic cinematography and a deeply moving plot.,good
Quantum Leap,8,The performances were outstanding. Truly breathtaking.,good
Midnight Runner,6,It's a solid 6/10. Good for a casual watch.,moderate
Echoes of Neptune,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Midnight Runner,8,An absolute masterpiece! The acting and story were brilliant.,good
Whispers in the Void,9,An absolute masterpiece! The acting and story were brilliant.,good
Cybernetic Dawn,3,I was really disappointed. It did not live up to the hype at all.,bad
Midnight Runner,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Cybernetic Dawn,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Cybernetic Dawn,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Starlight Rebellion,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Midnight Runner,4,An average film. The plot was predictable but the acting was fine.,moderate
Midnight Runner,8,An absolute masterpiece! The acting and story were brilliant.,good
Echoes of Neptune,5,An average film. The plot was predictable but the acting was fine.,moderate
Solaris Gate,8,The performances were outstanding. Truly breathtaking.,good
The Crimson Shadow,9,One of the best movies I've seen this year. Highly recommended!,good
Solaris Gate,7,An average film. The plot was predictable but the acting was fine.,moderate
Midnight Runner,5,It was an okay movie. Had some good parts but was slow overall.,moderate
Midnight Runner,10,Loved every minute of it. A must-watch film.,good
Whispers in the Void,1,The story was incoherent and the characters were poorly written.,bad
Ocean's Enigma,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Project Gemini,10,Fantastic cinematography and a deeply moving plot.,good
Solaris Gate,6,It was an okay movie. Had some good parts but was slow overall.,moderate
Cybernetic Dawn,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Solaris Gate,7,It's a solid 6/10. Good for a casual watch.,moderate
Project Gemini,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Midnight Runner,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Forgotten Dynasty,1,Avoid this movie. Easily one of the worst I've ever seen.,bad
The Last Alchemist,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Quantum Leap,4,It was an okay movie. Had some good parts but was slow overall.,moderate
The Crimson Shadow,3,A complete waste of time. The plot made no sense.,bad
Forgotten Dynasty,10,An absolute masterpiece! The acting and story were brilliant.,good
The Last Alchemist,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Echoes of Neptune,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Cybernetic Dawn,5,It was an okay movie. Had some good parts but was slow overall.,moderate
Starlight Rebellion,9,The performances were outstanding. Truly breathtaking.,good
Forgotten Dynasty,8,Loved every minute of it. A must-watch film.,good
Ocean's Enigma,1,Avoid this movie. Easily one of the worst I've ever seen.,bad
Forgotten Dynasty,4,It's a solid 6/10. Good for a casual watch.,moderate
Midnight Runner,2,The story was incoherent and the characters were poorly written.,bad
Quantum Leap,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Project Gemini,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Last Alchemist,1,The story was incoherent and the characters were poorly written.,bad
Cybernetic Dawn,3,Terrible acting and a horrible script. I wanted to walk out.,bad
Midnight Runner,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Quantum Leap,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
Ocean's Enigma,1,I was really disappointed. It did not live up to the hype at all.,bad
Starlight Rebellion,8,The performances were outstanding. Truly breathtaking.,good
Solaris Gate,2,Terrible acting and a horrible script. I wanted to walk out.,bad
The Last Alchemist,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
The Crimson Shadow,8,An absolute masterpiece! The acting and story were brilliant.,good
The Crimson Shadow,9,One of the best movies I've seen this year. Highly recommended!,good
Forgotten Dynasty,9,Loved every minute of it. A must-watch film.,good
Ocean's Enigma,10,One of the best movies I've seen this year. Highly recommended!,good
The Crimson Shadow,6,It's a solid 6/10. Good for a casual watch.,moderate
Whispers in the Void,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Ocean's Enigma,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Quantum Leap,1,The story was incoherent and the characters were poorly written.,bad
Cybernetic Dawn,10,An absolute masterpiece! The acting and story were brilliant.,good
Quantum Leap,10,Fantastic cinematography and a deeply moving plot.,good
Project Gemini,8,The performances were outstanding. Truly breathtaking.,good
Cybernetic Dawn,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Solaris Gate,1,The story was incoherent and the characters were poorly written.,bad
The Last Alchemist,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Forgotten Dynasty,8,One of the best movies I've seen this year. Highly recommended!,good
Quantum Leap,10,An absolute masterpiece! The acting and story were brilliant.,good
Forgotten Dynasty,8,The performances were outstanding. Truly breathtaking.,good
The Last Alchemist,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Cybernetic Dawn,8,Loved every minute of it. A must-watch film.,good
The Last Alchemist,4,An average film. The plot was predictable but the acting was fine.,moderate
Echoes of Neptune,4,It's a solid 6/10. Good for a casual watch.,moderate
Ocean's Enigma,2,A complete waste of time. The plot made no sense.,bad
Whispers in the Void,9,Loved every minute of it. A must-watch film.,good
Cybernetic Dawn,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Midnight Runner,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Cybernetic Dawn,7,It's a solid 6/10. Good for a casual watch.,moderate
The Crimson Shadow,9,Fantastic cinematography and a deeply moving plot.,good
The Last Alchemist,1,Avoid this movie. Easily one of the worst I've ever seen.,bad
Forgotten Dynasty,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
Ocean's Enigma,3,I was really disappointed. It did not live up to the hype at all.,bad
Midnight Runner,1,The story was incoherent and the characters were poorly written.,bad
The Last Alchemist,9,One of the best movies I've seen this year. Highly recommended!,good
Echoes of Neptune,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Echoes of Neptune,1,I was really disappointed. It did not live up to the hype at all.,bad
Midnight Runner,10,One of the best movies I've seen this year. Highly recommended!,good
Ocean's Enigma,10,The performances were outstanding. Truly breathtaking.,good
Cybernetic Dawn,9,Loved every minute of it. A must-watch film.,good
Quantum Leap,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
Ocean's Enigma,8,Loved every minute of it. A must-watch film.,good
Starlight Rebellion,10,Loved every minute of it. A must-watch film.,good
Forgotten Dynasty,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Cybernetic Dawn,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Solaris Gate,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Forgotten Dynasty,10,The performances were outstanding. Truly breathtaking.,good
Quantum Leap,8,One of the best movies I've seen this year. Highly recommended!,good
Starlight Rebellion,8,Fantastic cinematography and a deeply moving plot.,good
Project Gemini,3,A complete waste of time. The plot made no sense.,bad
Starlight Rebellion,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Midnight Runner,6,It's a solid 6/10. Good for a casual watch.,moderate
Forgotten Dynasty,9,Loved every minute of it. A must-watch film.,good
The Last Alchemist,8,Fantastic cinematography and a deeply moving plot.,good
Quantum Leap,5,An average film. The plot was predictable but the acting was fine.,moderate
Quantum Leap,8,An absolute masterpiece! The acting and story were brilliant.,good
The Crimson Shadow,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
The Crimson Shadow,2,A complete waste of time. The plot made no sense.,bad
Project Gemini,8,One of the best movies I've seen this year. Highly recommended!,good
Ocean's Enigma,7,It's a solid 6/10. Good for a casual watch.,moderate
The Last Alchemist,5,It was an okay movie. Had some good parts but was slow overall.,moderate
Echoes of Neptune,10,Fantastic cinematography and a deeply moving plot.,good
Echoes of Neptune,8,An absolute masterpiece! The acting and story were brilliant.,good
Echoes of Neptune,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Cybernetic Dawn,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Whispers in the Void,7,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Echoes of Neptune,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Ocean's Enigma,6,It's a solid 6/10. Good for a casual watch.,moderate
Starlight Rebellion,3,Terrible acting and a horrible script. I wanted to walk out.,bad
Project Gemini,6,It was an okay movie. Had some good parts but was slow overall.,moderate
Echoes of Neptune,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Starlight Rebellion,10,Fantastic cinematography and a deeply moving plot.,good
Forgotten Dynasty,2,A complete waste of time. The plot made no sense.,bad
The Last Alchemist,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Starlight Rebellion,5,An average film. The plot was predictable but the acting was fine.,moderate
Starlight Rebellion,2,The story was incoherent and the characters were poorly written.,bad
The Last Alchemist,2,The story was incoherent and the characters were poorly written.,bad
Forgotten Dynasty,4,An average film. The plot was predictable but the acting was fine.,moderate
Whispers in the Void,1,I was really disappointed. It did not live up to the hype at all.,bad
Project Gemini,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Quantum Leap,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Quantum Leap,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Quantum Leap,2,The story was incoherent and the characters were poorly written.,bad
Whispers in the Void,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Midnight Runner,9,Loved every minute of it. A must-watch film.,good
Quantum Leap,9,Fantastic cinematography and a deeply moving plot.,good
Forgotten Dynasty,5,It's a solid 6/10. Good for a casual watch.,moderate
Midnight Runner,1,I was really disappointed. It did not live up to the hype at all.,bad
The Last Alchemist,2,The story was incoherent and the characters were poorly written.,bad
Ocean's Enigma,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Solaris Gate,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Whispers in the Void,8,An absolute masterpiece! The acting and story were brilliant.,good
Forgotten Dynasty,7,It's a solid 6/10. Good for a casual watch.,moderate
Solaris Gate,10,Fantastic cinematography and a deeply moving plot.,good
Project Gemini,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Echoes of Neptune,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Starlight Rebellion,2,I was really disappointed. It did not live up to the hype at all.,bad
Quantum Leap,9,The performances were outstanding. Truly breathtaking.,good
Starlight Rebellion,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Project Gemini,6,An average film. The plot was predictable but the acting was fine.,moderate
Midnight Runner,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Cybernetic Dawn,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Cybernetic Dawn,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Last Alchemist,7,An average film. The plot was predictable but the acting was fine.,moderate
Midnight Runner,10,One of the best movies I've seen this year. Highly recommended!,good
Starlight Rebellion,7,An average film. The plot was predictable but the acting was fine.,moderate
Forgotten Dynasty,8,Loved every minute of it. A must-watch film.,good
Forgotten Dynasty,7,It's a solid 6/10. Good for a casual watch.,moderate
Cybernetic Dawn,8,An absolute masterpiece! The acting and story were brilliant.,good
Echoes of Neptune,8,The performances were outstanding. Truly breathtaking.,good
Starlight Rebellion,9,Loved every minute of it. A must-watch film.,good
Cybernetic Dawn,3,I was really disappointed. It did not live up to the hype at all.,bad
Cybernetic Dawn,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
Midnight Runner,8,The performances were outstanding. Truly breathtaking.,good
Midnight Runner,8,An absolute masterpiece! The acting and story were brilliant.,good
The Crimson Shadow,7,It was an okay movie. Had some good parts but was slow overall.,moderate
The Crimson Shadow,10,One of the best movies I've seen this year. Highly recommended!,good
Echoes of Neptune,9,An absolute masterpiece! The acting and story were brilliant.,good
Starlight Rebellion,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Echoes of Neptune,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Quantum Leap,2,A complete waste of time. The plot made no sense.,bad
Starlight Rebellion,6,It's a solid 6/10. Good for a casual watch.,moderate
Quantum Leap,7,An average film. The plot was predictable but the acting was fine.,moderate
Cybernetic Dawn,1,The story was incoherent and the characters were poorly written.,bad
Starlight Rebellion,3,I was really disappointed. It did not live up to the hype at all.,bad
Whispers in the Void,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Echoes of Neptune,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Last Alchemist,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Echoes of Neptune,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Whispers in the Void,3,The story was incoherent and the characters were poorly written.,bad
The Crimson Shadow,2,I was really disappointed. It did not live up to the hype at all.,bad
Midnight Runner,5,It's a solid 6/10. Good for a casual watch.,moderate
The Last Alchemist,8,Loved every minute of it. A must-watch film.,good
Quantum Leap,6,It's a solid 6/10. Good for a casual watch.,moderate
Project Gemini,10,An absolute masterpiece! The acting and story were brilliant.,good
The Crimson Shadow,3,Terrible acting and a horrible script. I wanted to walk out.,bad
Cybernetic Dawn,10,The performances were outstanding. Truly breathtaking.,good
Echoes of Neptune,4,It's a solid 6/10. Good for a casual watch.,moderate
Whispers in the Void,4,It's a solid 6/10. Good for a casual watch.,moderate
Echoes of Neptune,9,An absolute masterpiece! The acting and story were brilliant.,good
Project Gemini,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Project Gemini,7,An average film. The plot was predictable but the acting was fine.,moderate
Solaris Gate,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Last Alchemist,6,It was an okay movie. Had some good parts but was slow overall.,moderate
Midnight Runner,6,An average film. The plot was predictable but the acting was fine.,moderate
Forgotten Dynasty,1,A complete waste of time. The plot made no sense.,bad
Solaris Gate,2,I was really disappointed. It did not live up to the hype at all.,bad
Cybernetic Dawn,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
The Crimson Shadow,2,The story was incoherent and the characters were poorly written.,bad
Starlight Rebellion,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Forgotten Dynasty,2,A complete waste of time. The plot made no sense.,bad
Whispers in the Void,1,I was really disappointed. It did not live up to the hype at all.,bad
Forgotten Dynasty,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Forgotten Dynasty,10,An absolute masterpiece! The acting and story were brilliant.,good
Whispers in the Void,9,Fantastic cinematography and a deeply moving plot.,good
Quantum Leap,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Solaris Gate,8,One of the best movies I've seen this year. Highly recommended!,good
Whispers in the Void,6,An average film. The plot was predictable but the acting was fine.,moderate
Echoes of Neptune,10,Fantastic cinematography and a deeply moving plot.,good
Cybernetic Dawn,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Project Gemini,2,I was really disappointed. It did not live up to the hype at all.,bad
The Crimson Shadow,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Whispers in the Void,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Ocean's Enigma,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
The Last Alchemist,10,Fantastic cinematography and a deeply moving plot.,good
Quantum Leap,7,It was an okay movie. Had some good parts but was slow overall.,moderate
The Crimson Shadow,9,The performances were outstanding. Truly breathtaking.,good
The Crimson Shadow,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Midnight Runner,7,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Whispers in the Void,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Starlight Rebellion,2,A complete waste of time. The plot made no sense.,bad
Echoes of Neptune,2,I was really disappointed. It did not live up to the hype at all.,bad
Forgotten Dynasty,9,The performances were outstanding. Truly breathtaking.,good
Starlight Rebellion,6,An average film. The plot was predictable but the acting was fine.,moderate
Project Gemini,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Midnight Runner,4,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Forgotten Dynasty,7,It was an okay movie. Had some good parts but was slow overall.,moderate
The Last Alchemist,8,The performances were outstanding. Truly breathtaking.,good
Solaris Gate,8,Fantastic cinematography and a deeply moving plot.,good
Midnight Runner,2,I was really disappointed. It did not live up to the hype at all.,bad
Echoes of Neptune,2,A complete waste of time. The plot made no sense.,bad
Cybernetic Dawn,1,The story was incoherent and the characters were poorly written.,bad
The Crimson Shadow,1,I was really disappointed. It did not live up to the hype at all.,bad
Project Gemini,3,The story was incoherent and the characters were poorly written.,bad
The Crimson Shadow,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Ocean's Enigma,3,A complete waste of time. The plot made no sense.,bad
Solaris Gate,10,One of the best movies I've seen this year. Highly recommended!,good
Echoes of Neptune,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Cybernetic Dawn,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Starlight Rebellion,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Cybernetic Dawn,8,Fantastic cinematography and a deeply moving plot.,good
Forgotten Dynasty,6,It was an okay movie. Had some good parts but was slow overall.,moderate
Solaris Gate,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Cybernetic Dawn,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Midnight Runner,8,An absolute masterpiece! The acting and story were brilliant.,good
Midnight Runner,8,An absolute masterpiece! The acting and story were brilliant.,good
Midnight Runner,9,Fantastic cinematography and a deeply moving plot.,good
Ocean's Enigma,1,Avoid this movie. Easily one of the worst I've ever seen.,bad
The Crimson Shadow,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Forgotten Dynasty,7,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Ocean's Enigma,5,It was an okay movie. Had some good parts but was slow overall.,moderate
Midnight Runner,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Quantum Leap,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Solaris Gate,8,One of the best movies I've seen this year. Highly recommended!,good
Forgotten Dynasty,8,One of the best movies I've seen this year. Highly recommended!,good
Starlight Rebellion,9,Loved every minute of it. A must-watch film.,good
The Crimson Shadow,3,I was really disappointed. It did not live up to the hype at all.,bad
Solaris Gate,8,Fantastic cinematography and a deeply moving plot.,good
Project Gemini,9,The performances were outstanding. Truly breathtaking.,good
Midnight Runner,9,The performances were outstanding. Truly breathtaking.,good
Solaris Gate,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Cybernetic Dawn,1,A complete waste of time. The plot made no sense.,bad
Solaris Gate,1,I was really disappointed. It did not live up to the hype at all.,bad
Cybernetic Dawn,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Midnight Runner,10,Fantastic cinematography and a deeply moving plot.,good
Solaris Gate,5,It's a solid 6/10. Good for a casual watch.,moderate
Echoes of Neptune,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Cybernetic Dawn,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Forgotten Dynasty,1,The story was incoherent and the characters were poorly written.,bad
Midnight Runner,8,Fantastic cinematography and a deeply moving plot.,good
Cybernetic Dawn,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Forgotten Dynasty,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
Midnight Runner,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Forgotten Dynasty,3,The story was incoherent and the characters were poorly written.,bad
Whispers in the Void,9,Fantastic cinematography and a deeply moving plot.,good
Cybernetic Dawn,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Crimson Shadow,9,The performances were outstanding. Truly breathtaking.,good
Project Gemini,9,The performances were outstanding. Truly breathtaking.,good
Solaris Gate,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Midnight Runner,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Midnight Runner,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Starlight Rebellion,4,An average film. The plot was predictable but the acting was fine.,moderate
The Last Alchemist,8,The performances were outstanding. Truly breathtaking.,good
Whispers in the Void,3,The story was incoherent and the characters were poorly written.,bad
Forgotten Dynasty,5,It was an okay movie. Had some good parts but was slow overall.,moderate
Midnight Runner,4,An average film. The plot was predictable but the acting was fine.,moderate
Solaris Gate,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Forgotten Dynasty,10,The performances were outstanding. Truly breathtaking.,good
Midnight Runner,2,I was really disappointed. It did not live up to the hype at all.,bad
Cybernetic Dawn,1,The story was incoherent and the characters were poorly written.,bad
Ocean's Enigma,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Starlight Rebellion,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Starlight Rebellion,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Ocean's Enigma,5,An average film. The plot was predictable but the acting was fine.,moderate
